index;Heure;Jour;Mois;Année;Pression_au_niveau_mer;Variation_de_pression_en_3_heures;Type_de_tendance_barométrique;Direction_du_vent_moyen_10_mn;Vitesse_du vent_moyen_10_mn;Température;Point_de_rosée;Humidité;Visibilité_horizontale;Temps_présent;Pression_station;Rafales_sur_une_période;Periode_de_mesure_de_la_rafale;Précipitations_dans_la_dernière_heure;Précipitations_dans_les_3_dernières_heures;Température(°C);consommation;datehour;datemonth
3117;14;4;1;2013;99970.0;-60.0;8.0;360.0;6.7;279.95;277.75;86.0;4000.0;60.0;99870.0;10.3;-10.0;1.0;5.0;6.800000000000011;28636.0;14;1
1618;17;4;1;2013;100000.0;30.0;3.0;350.0;4.6;281.25;279.85;91.0;6000.0;60.0;99900.0;6.7;-10.0;1.0;4.0;8.100000000000023;27228.0;17;1
2226;20;4;1;2013;100180.0;180.0;3.0;290.0;2.6;281.75;280.65;93.0;7000.0;61.0;100080.0;5.7;-10.0;1.0;5.0;8.600000000000023;29959.0;20;1
1629;23;4;1;2013;100240.0;60.0;0.0;240.0;1.0;281.25;280.15;93.0;6000.0;21.0;100140.0;2.1;-10.0;0.0;1.0;8.100000000000023;30030.0;23;1
59694;2;5;1;2013;101610.0;20.0;1.0;100.0;3.1;286.65;285.35;92.0;11000.0;0.0;101510.0;4.6;-10.0;0.0;1.0;13.5;23025.0;2;1
1447;5;5;1;2013;101580.0;-30.0;6.0;120.0;1.5;286.35;285.05;92.0;15000.0;2.0;101480.0;2.6;-10.0;0.0;0.0;13.200000000000044;20361.0;5;1
2013;8;5;1;2013;101700.0;120.0;3.0;190.0;2.6;286.15;285.25;94.0;16000.0;0.0;101600.0;4.1;-10.0;0.0;0.0;13.0;21972.0;8;1
3450;11;5;1;2013;101710.0;10.0;3.0;130.0;1.5;288.95;286.05;83.0;19000.0;0.0;101610.0;3.1;-10.0;0.0;0.0;15.800000000000011;23870.0;11;1
3455;14;5;1;2013;101780.0;70.0;3.0;160.0;4.6;290.15;285.85;76.0;20000.0;2.0;101680.0;6.2;-10.0;0.0;0.0;17.0;21485.0;14;1
29773;17;5;1;2013;101730.0;-50.0;8.0;180.0;2.6;290.55;284.55;68.0;40000.0;2.0;101630.0;4.6;-10.0;0.0;0.0;17.400000000000034;18897.0;17;1
2030;20;5;1;2013;101700.0;-30.0;6.0;220.0;2.6;289.25;283.35;68.0;50000.0;2.0;101600.0;4.1;-10.0;0.0;0.0;16.100000000000023;22131.0;20;1
2033;23;5;1;2013;101750.0;50.0;1.0;310.0;1.5;285.65;281.15;74.0;60000.0;0.0;101650.0;4.1;-10.0;0.0;0.0;12.5;24764.0;23;1
84764;2;6;1;2013;101090.0;-60.0;6.0;290.0;9.3;290.25;281.35;56.0;60000.0;0.0;101000.0;13.4;-10.0;0.0;0.0;17.100000000000023;20071.0;2;1
102134;5;6;1;2013;101020.0;-70.0;6.0;320.0;6.2;290.45;281.35;55.0;60000.0;2.0;100930.0;12.9;-10.0;0.0;0.0;17.30000000000001;18112.0;5;1
8426;8;6;1;2013;101170.0;150.0;3.0;320.0;6.2;292.05;279.15;43.0;60000.0;2.0;101080.0;11.8;-10.0;0.0;0.0;18.90000000000004;21012.0;8;1
102143;11;6;1;2013;101250.0;80.0;1.0;340.0;9.3;295.05;278.05;33.0;60000.0;2.0;101160.0;14.9;-10.0;0.0;0.0;21.90000000000004;23845.0;11;1
8441;14;6;1;2013;101310.0;60.0;1.0;320.0;11.8;297.85;277.55;27.0;40000.0;2.0;101220.0;15.9;-10.0;0.0;0.0;24.700000000000045;22239.0;14;1
69991;17;6;1;2013;101240.0;-70.0;5.0;350.0;12.3;299.45;278.45;26.0;40000.0;2.0;101150.0;19.0;-10.0;0.0;0.0;26.30000000000001;20160.0;17;1
32343;20;6;1;2013;101300.0;60.0;3.0;340.0;10.8;297.95;278.65;29.0;30000.0;2.0;101210.0;17.5;-10.0;0.0;0.0;24.80000000000001;20451.0;20;1
